Combination	Num_Genes	Count	Frequency(%)
Z2098/espK/espN/stx2/ureD	5	140	99.29
Z2098/espN/espV/stx1/stx2	5	140	99.29
Z2098/espN/espV/stx1/ureD	5	140	99.29
Z2098/espN/espV/stx2/ureD	5	140	99.29
Z2098/espN/stx1/stx2/ureD	5	140	99.29
eae/espK/espN/espV/stx1	5	140	99.29
eae/espK/espN/espV/stx2	5	140	99.29
eae/espK/espN/espV/ureD	5	140	99.29
eae/espK/espN/stx1/stx2	5	140	99.29
eae/espK/espN/stx1/ureD	5	140	99.29
eae/espK/espN/stx2/ureD	5	140	99.29
eae/espN/espV/stx1/stx2	5	140	99.29
eae/espN/espV/stx1/ureD	5	140	99.29
eae/espN/espV/stx2/ureD	5	140	99.29
eae/espN/stx1/stx2/ureD	5	140	99.29
espK/espN/espV/stx1/stx2	5	140	99.29
espK/espN/espV/stx1/ureD	5	140	99.29
espK/espN/espV/stx2/ureD	5	140	99.29
espK/espN/stx1/stx2/ureD	5	140	99.29
espN/espV/stx1/stx2/ureD	5	140	99.29
Z2098/aggR/eae/espK/espN	5	0	0.0
Z2098/aggR/eae/espK/espV	5	0	0.0
Z2098/aggR/eae/espK/stx1	5	0	0.0
Z2098/aggR/eae/espK/stx2	5	0	0.0
Z2098/aggR/eae/espK/subA	5	0	0.0
Z2098/aggR/eae/espK/ureD	5	0	0.0
Z2098/aggR/eae/espN/espV	5	0	0.0
Z2098/aggR/eae/espN/stx1	5	0	0.0
Z2098/aggR/eae/espN/stx2	5	0	0.0
Z2098/aggR/eae/espN/subA	5	0	0.0
Z2098/aggR/eae/espN/ureD	5	0	0.0
Z2098/aggR/eae/espV/stx1	5	0	0.0
Z2098/aggR/eae/espV/stx2	5	0	0.0
Z2098/aggR/eae/espV/subA	5	0	0.0
Z2098/aggR/eae/espV/ureD	5	0	0.0
Z2098/aggR/eae/stx1/stx2	5	0	0.0
Z2098/aggR/eae/stx1/subA	5	0	0.0
Z2098/aggR/eae/stx1/ureD	5	0	0.0
Z2098/aggR/eae/stx2/subA	5	0	0.0
Z2098/aggR/eae/stx2/ureD	5	0	0.0
Z2098/aggR/eae/subA/ureD	5	0	0.0
Z2098/aggR/espK/espN/espV	5	0	0.0
Z2098/aggR/espK/espN/stx1	5	0	0.0
Z2098/aggR/espK/espN/stx2	5	0	0.0
Z2098/aggR/espK/espN/subA	5	0	0.0
Z2098/aggR/espK/espN/ureD	5	0	0.0
Z2098/aggR/espK/espV/stx1	5	0	0.0
Z2098/aggR/espK/espV/stx2	5	0	0.0
Z2098/aggR/espK/espV/subA	5	0	0.0
Z2098/aggR/espK/espV/ureD	5	0	0.0
Z2098/aggR/espK/stx1/stx2	5	0	0.0
Z2098/aggR/espK/stx1/subA	5	0	0.0
Z2098/aggR/espK/stx1/ureD	5	0	0.0
Z2098/aggR/espK/stx2/subA	5	0	0.0
Z2098/aggR/espK/stx2/ureD	5	0	0.0
Z2098/aggR/espK/subA/ureD	5	0	0.0
Z2098/aggR/espN/espV/stx1	5	0	0.0
Z2098/aggR/espN/espV/stx2	5	0	0.0
Z2098/aggR/espN/espV/subA	5	0	0.0
Z2098/aggR/espN/espV/ureD	5	0	0.0
Z2098/aggR/espN/stx1/stx2	5	0	0.0
Z2098/aggR/espN/stx1/subA	5	0	0.0
Z2098/aggR/espN/stx1/ureD	5	0	0.0
Z2098/aggR/espN/stx2/subA	5	0	0.0
Z2098/aggR/espN/stx2/ureD	5	0	0.0
Z2098/aggR/espN/subA/ureD	5	0	0.0
Z2098/aggR/espV/stx1/stx2	5	0	0.0
Z2098/aggR/espV/stx1/subA	5	0	0.0
Z2098/aggR/espV/stx1/ureD	5	0	0.0
Z2098/aggR/espV/stx2/subA	5	0	0.0
Z2098/aggR/espV/stx2/ureD	5	0	0.0
Z2098/aggR/espV/subA/ureD	5	0	0.0
Z2098/aggR/stx1/stx2/subA	5	0	0.0
Z2098/aggR/stx1/stx2/ureD	5	0	0.0
Z2098/aggR/stx1/subA/ureD	5	0	0.0
Z2098/aggR/stx2/subA/ureD	5	0	0.0
Z2098/eae/espK/espN/subA	5	0	0.0
Z2098/eae/espK/espV/subA	5	0	0.0
Z2098/eae/espK/stx1/subA	5	0	0.0
Z2098/eae/espK/stx2/subA	5	0	0.0
Z2098/eae/espK/subA/ureD	5	0	0.0
Z2098/eae/espN/espV/subA	5	0	0.0
Z2098/eae/espN/stx1/subA	5	0	0.0
Z2098/eae/espN/stx2/subA	5	0	0.0
Z2098/eae/espN/subA/ureD	5	0	0.0
Z2098/eae/espV/stx1/subA	5	0	0.0
Z2098/eae/espV/stx2/subA	5	0	0.0
Z2098/eae/espV/subA/ureD	5	0	0.0
Z2098/eae/stx1/stx2/subA	5	0	0.0
Z2098/eae/stx1/subA/ureD	5	0	0.0
Z2098/eae/stx2/subA/ureD	5	0	0.0
Z2098/espK/espN/espV/subA	5	0	0.0
Z2098/espK/espN/stx1/subA	5	0	0.0
Z2098/espK/espN/stx2/subA	5	0	0.0
Z2098/espK/espN/subA/ureD	5	0	0.0
Z2098/espK/espV/stx1/subA	5	0	0.0
Z2098/espK/espV/stx2/subA	5	0	0.0
Z2098/espK/espV/subA/ureD	5	0	0.0
Z2098/espK/stx1/stx2/subA	5	0	0.0
Z2098/espK/stx1/subA/ureD	5	0	0.0
Z2098/espK/stx2/subA/ureD	5	0	0.0
Z2098/espN/espV/stx1/subA	5	0	0.0
Z2098/espN/espV/stx2/subA	5	0	0.0
Z2098/espN/espV/subA/ureD	5	0	0.0
Z2098/espN/stx1/stx2/subA	5	0	0.0
Z2098/espN/stx1/subA/ureD	5	0	0.0
Z2098/espN/stx2/subA/ureD	5	0	0.0
Z2098/espV/stx1/stx2/subA	5	0	0.0
Z2098/espV/stx1/subA/ureD	5	0	0.0
Z2098/espV/stx2/subA/ureD	5	0	0.0
Z2098/stx1/stx2/subA/ureD	5	0	0.0
aggR/eae/espK/espN/espV	5	0	0.0
aggR/eae/espK/espN/stx1	5	0	0.0
aggR/eae/espK/espN/stx2	5	0	0.0
aggR/eae/espK/espN/subA	5	0	0.0
aggR/eae/espK/espN/ureD	5	0	0.0
aggR/eae/espK/espV/stx1	5	0	0.0
aggR/eae/espK/espV/stx2	5	0	0.0
aggR/eae/espK/espV/subA	5	0	0.0
aggR/eae/espK/espV/ureD	5	0	0.0
aggR/eae/espK/stx1/stx2	5	0	0.0
aggR/eae/espK/stx1/subA	5	0	0.0
aggR/eae/espK/stx1/ureD	5	0	0.0
aggR/eae/espK/stx2/subA	5	0	0.0
aggR/eae/espK/stx2/ureD	5	0	0.0
aggR/eae/espK/subA/ureD	5	0	0.0
aggR/eae/espN/espV/stx1	5	0	0.0
aggR/eae/espN/espV/stx2	5	0	0.0
aggR/eae/espN/espV/subA	5	0	0.0
aggR/eae/espN/espV/ureD	5	0	0.0
aggR/eae/espN/stx1/stx2	5	0	0.0
aggR/eae/espN/stx1/subA	5	0	0.0
aggR/eae/espN/stx1/ureD	5	0	0.0
aggR/eae/espN/stx2/subA	5	0	0.0
aggR/eae/espN/stx2/ureD	5	0	0.0
aggR/eae/espN/subA/ureD	5	0	0.0
aggR/eae/espV/stx1/stx2	5	0	0.0
aggR/eae/espV/stx1/subA	5	0	0.0
aggR/eae/espV/stx1/ureD	5	0	0.0
aggR/eae/espV/stx2/subA	5	0	0.0
aggR/eae/espV/stx2/ureD	5	0	0.0
aggR/eae/espV/subA/ureD	5	0	0.0
aggR/eae/stx1/stx2/subA	5	0	0.0
aggR/eae/stx1/stx2/ureD	5	0	0.0
aggR/eae/stx1/subA/ureD	5	0	0.0
aggR/eae/stx2/subA/ureD	5	0	0.0
aggR/espK/espN/espV/stx1	5	0	0.0
aggR/espK/espN/espV/stx2	5	0	0.0
aggR/espK/espN/espV/subA	5	0	0.0
aggR/espK/espN/espV/ureD	5	0	0.0
aggR/espK/espN/stx1/stx2	5	0	0.0
aggR/espK/espN/stx1/subA	5	0	0.0
aggR/espK/espN/stx1/ureD	5	0	0.0
aggR/espK/espN/stx2/subA	5	0	0.0
aggR/espK/espN/stx2/ureD	5	0	0.0
aggR/espK/espN/subA/ureD	5	0	0.0
aggR/espK/espV/stx1/stx2	5	0	0.0
aggR/espK/espV/stx1/subA	5	0	0.0
aggR/espK/espV/stx1/ureD	5	0	0.0
aggR/espK/espV/stx2/subA	5	0	0.0
aggR/espK/espV/stx2/ureD	5	0	0.0
aggR/espK/espV/subA/ureD	5	0	0.0
aggR/espK/stx1/stx2/subA	5	0	0.0
aggR/espK/stx1/stx2/ureD	5	0	0.0
aggR/espK/stx1/subA/ureD	5	0	0.0
aggR/espK/stx2/subA/ureD	5	0	0.0
aggR/espN/espV/stx1/stx2	5	0	0.0
aggR/espN/espV/stx1/subA	5	0	0.0
aggR/espN/espV/stx1/ureD	5	0	0.0
aggR/espN/espV/stx2/subA	5	0	0.0
aggR/espN/espV/stx2/ureD	5	0	0.0
aggR/espN/espV/subA/ureD	5	0	0.0
aggR/espN/stx1/stx2/subA	5	0	0.0
aggR/espN/stx1/stx2/ureD	5	0	0.0
aggR/espN/stx1/subA/ureD	5	0	0.0
aggR/espN/stx2/subA/ureD	5	0	0.0
aggR/espV/stx1/stx2/subA	5	0	0.0
aggR/espV/stx1/stx2/ureD	5	0	0.0
aggR/espV/stx1/subA/ureD	5	0	0.0
aggR/espV/stx2/subA/ureD	5	0	0.0
aggR/stx1/stx2/subA/ureD	5	0	0.0
eae/espK/espN/espV/subA	5	0	0.0
eae/espK/espN/stx1/subA	5	0	0.0
eae/espK/espN/stx2/subA	5	0	0.0
eae/espK/espN/subA/ureD	5	0	0.0
eae/espK/espV/stx1/subA	5	0	0.0
eae/espK/espV/stx2/subA	5	0	0.0
eae/espK/espV/subA/ureD	5	0	0.0
eae/espK/stx1/stx2/subA	5	0	0.0
eae/espK/stx1/subA/ureD	5	0	0.0
eae/espK/stx2/subA/ureD	5	0	0.0
eae/espN/espV/stx1/subA	5	0	0.0
eae/espN/espV/stx2/subA	5	0	0.0
eae/espN/espV/subA/ureD	5	0	0.0
eae/espN/stx1/stx2/subA	5	0	0.0
eae/espN/stx1/subA/ureD	5	0	0.0
eae/espN/stx2/subA/ureD	5	0	0.0
eae/espV/stx1/stx2/subA	5	0	0.0
eae/espV/stx1/subA/ureD	5	0	0.0
eae/espV/stx2/subA/ureD	5	0	0.0
eae/stx1/stx2/subA/ureD	5	0	0.0
espK/espN/espV/stx1/subA	5	0	0.0
espK/espN/espV/stx2/subA	5	0	0.0
espK/espN/espV/subA/ureD	5	0	0.0
espK/espN/stx1/stx2/subA	5	0	0.0
espK/espN/stx1/subA/ureD	5	0	0.0
espK/espN/stx2/subA/ureD	5	0	0.0
espK/espV/stx1/stx2/subA	5	0	0.0
espK/espV/stx1/subA/ureD	5	0	0.0
espK/espV/stx2/subA/ureD	5	0	0.0
espK/stx1/stx2/subA/ureD	5	0	0.0
espN/espV/stx1/stx2/subA	5	0	0.0
espN/espV/stx1/subA/ureD	5	0	0.0
espN/espV/stx2/subA/ureD	5	0	0.0
espN/stx1/stx2/subA/ureD	5	0	0.0
espV/stx1/stx2/subA/ureD	5	0	0.0
Z2098/eae/espK/espV/stx1/stx2	6	141	100.0
Z2098/eae/espK/espV/stx1/ureD	6	141	100.0
Z2098/eae/espK/espV/stx2/ureD	6	141	100.0
Z2098/eae/espK/stx1/stx2/ureD	6	141	100.0
Z2098/eae/espV/stx1/stx2/ureD	6	141	100.0
Z2098/espK/espV/stx1/stx2/ureD	6	141	100.0
eae/espK/espV/stx1/stx2/ureD	6	141	100.0
Z2098/eae/espK/espN/espV/stx1	6	140	99.29
Z2098/eae/espK/espN/espV/stx2	6	140	99.29
Z2098/eae/espK/espN/espV/ureD	6	140	99.29
Z2098/eae/espK/espN/stx1/stx2	6	140	99.29
Z2098/eae/espK/espN/stx1/ureD	6	140	99.29
Z2098/eae/espK/espN/stx2/ureD	6	140	99.29
Z2098/eae/espN/espV/stx1/stx2	6	140	99.29
Z2098/eae/espN/espV/stx1/ureD	6	140	99.29
Z2098/eae/espN/espV/stx2/ureD	6	140	99.29
Z2098/eae/espN/stx1/stx2/ureD	6	140	99.29
Z2098/espK/espN/espV/stx1/stx2	6	140	99.29
Z2098/espK/espN/espV/stx1/ureD	6	140	99.29
Z2098/espK/espN/espV/stx2/ureD	6	140	99.29
Z2098/espK/espN/stx1/stx2/ureD	6	140	99.29
Z2098/espN/espV/stx1/stx2/ureD	6	140	99.29
eae/espK/espN/espV/stx1/stx2	6	140	99.29
eae/espK/espN/espV/stx1/ureD	6	140	99.29
eae/espK/espN/espV/stx2/ureD	6	140	99.29
eae/espK/espN/stx1/stx2/ureD	6	140	99.29
eae/espN/espV/stx1/stx2/ureD	6	140	99.29
espK/espN/espV/stx1/stx2/ureD	6	140	99.29
Z2098/aggR/eae/espK/espN/espV	6	0	0.0
Z2098/aggR/eae/espK/espN/stx1	6	0	0.0
Z2098/aggR/eae/espK/espN/stx2	6	0	0.0
Z2098/aggR/eae/espK/espN/subA	6	0	0.0
Z2098/aggR/eae/espK/espN/ureD	6	0	0.0
Z2098/aggR/eae/espK/espV/stx1	6	0	0.0
Z2098/aggR/eae/espK/espV/stx2	6	0	0.0
Z2098/aggR/eae/espK/espV/subA	6	0	0.0
Z2098/aggR/eae/espK/espV/ureD	6	0	0.0
Z2098/aggR/eae/espK/stx1/stx2	6	0	0.0
Z2098/aggR/eae/espK/stx1/subA	6	0	0.0
Z2098/aggR/eae/espK/stx1/ureD	6	0	0.0
Z2098/aggR/eae/espK/stx2/subA	6	0	0.0
Z2098/aggR/eae/espK/stx2/ureD	6	0	0.0
Z2098/aggR/eae/espK/subA/ureD	6	0	0.0
Z2098/aggR/eae/espN/espV/stx1	6	0	0.0
Z2098/aggR/eae/espN/espV/stx2	6	0	0.0
Z2098/aggR/eae/espN/espV/subA	6	0	0.0
Z2098/aggR/eae/espN/espV/ureD	6	0	0.0
Z2098/aggR/eae/espN/stx1/stx2	6	0	0.0
Z2098/aggR/eae/espN/stx1/subA	6	0	0.0
Z2098/aggR/eae/espN/stx1/ureD	6	0	0.0
Z2098/aggR/eae/espN/stx2/subA	6	0	0.0
Z2098/aggR/eae/espN/stx2/ureD	6	0	0.0
Z2098/aggR/eae/espN/subA/ureD	6	0	0.0
Z2098/aggR/eae/espV/stx1/stx2	6	0	0.0
Z2098/aggR/eae/espV/stx1/subA	6	0	0.0
Z2098/aggR/eae/espV/stx1/ureD	6	0	0.0
Z2098/aggR/eae/espV/stx2/subA	6	0	0.0
Z2098/aggR/eae/espV/stx2/ureD	6	0	0.0
Z2098/aggR/eae/espV/subA/ureD	6	0	0.0
Z2098/aggR/eae/stx1/stx2/subA	6	0	0.0
Z2098/aggR/eae/stx1/stx2/ureD	6	0	0.0
Z2098/aggR/eae/stx1/subA/ureD	6	0	0.0
Z2098/aggR/eae/stx2/subA/ureD	6	0	0.0
Z2098/aggR/espK/espN/espV/stx1	6	0	0.0
Z2098/aggR/espK/espN/espV/stx2	6	0	0.0
Z2098/aggR/espK/espN/espV/subA	6	0	0.0
Z2098/aggR/espK/espN/espV/ureD	6	0	0.0
Z2098/aggR/espK/espN/stx1/stx2	6	0	0.0
Z2098/aggR/espK/espN/stx1/subA	6	0	0.0
Z2098/aggR/espK/espN/stx1/ureD	6	0	0.0
Z2098/aggR/espK/espN/stx2/subA	6	0	0.0
Z2098/aggR/espK/espN/stx2/ureD	6	0	0.0
Z2098/aggR/espK/espN/subA/ureD	6	0	0.0
Z2098/aggR/espK/espV/stx1/stx2	6	0	0.0
Z2098/aggR/espK/espV/stx1/subA	6	0	0.0
Z2098/aggR/espK/espV/stx1/ureD	6	0	0.0
Z2098/aggR/espK/espV/stx2/subA	6	0	0.0
Z2098/aggR/espK/espV/stx2/ureD	6	0	0.0
Z2098/aggR/espK/espV/subA/ureD	6	0	0.0
Z2098/aggR/espK/stx1/stx2/subA	6	0	0.0
Z2098/aggR/espK/stx1/stx2/ureD	6	0	0.0
Z2098/aggR/espK/stx1/subA/ureD	6	0	0.0
Z2098/aggR/espK/stx2/subA/ureD	6	0	0.0
Z2098/aggR/espN/espV/stx1/stx2	6	0	0.0
Z2098/aggR/espN/espV/stx1/subA	6	0	0.0
Z2098/aggR/espN/espV/stx1/ureD	6	0	0.0
Z2098/aggR/espN/espV/stx2/subA	6	0	0.0
Z2098/aggR/espN/espV/stx2/ureD	6	0	0.0
Z2098/aggR/espN/espV/subA/ureD	6	0	0.0
Z2098/aggR/espN/stx1/stx2/subA	6	0	0.0
Z2098/aggR/espN/stx1/stx2/ureD	6	0	0.0
Z2098/aggR/espN/stx1/subA/ureD	6	0	0.0
Z2098/aggR/espN/stx2/subA/ureD	6	0	0.0
Z2098/aggR/espV/stx1/stx2/subA	6	0	0.0
Z2098/aggR/espV/stx1/stx2/ureD	6	0	0.0
Z2098/aggR/espV/stx1/subA/ureD	6	0	0.0
Z2098/aggR/espV/stx2/subA/ureD	6	0	0.0
Z2098/aggR/stx1/stx2/subA/ureD	6	0	0.0
Z2098/eae/espK/espN/espV/subA	6	0	0.0
Z2098/eae/espK/espN/stx1/subA	6	0	0.0
Z2098/eae/espK/espN/stx2/subA	6	0	0.0
Z2098/eae/espK/espN/subA/ureD	6	0	0.0
Z2098/eae/espK/espV/stx1/subA	6	0	0.0
Z2098/eae/espK/espV/stx2/subA	6	0	0.0
Z2098/eae/espK/espV/subA/ureD	6	0	0.0
Z2098/eae/espK/stx1/stx2/subA	6	0	0.0
Z2098/eae/espK/stx1/subA/ureD	6	0	0.0
Z2098/eae/espK/stx2/subA/ureD	6	0	0.0
Z2098/eae/espN/espV/stx1/subA	6	0	0.0
Z2098/eae/espN/espV/stx2/subA	6	0	0.0
Z2098/eae/espN/espV/subA/ureD	6	0	0.0
Z2098/eae/espN/stx1/stx2/subA	6	0	0.0
